frequency_hz,direct_i_int16,direct_q_int16,filtered_i_int16,filtered_q_int16,direct_iq_magnitude,filtered_iq_magnitude
200,4755,-11304,1114,-11914,12263.3780419589,11965.9680761734
220,4558,-10843,396,-11563,11762.0581957411,11569.7789520803
240,4286,-11193,-97,-11972,11985.5348232776,11972.3929521211
260,4669,-11193,-137,-11791,12127.7701990102,11791.795876795
280,4452,-10876,-849,-11581,11751.9223959317,11612.0782808247
300,4306,-11187,-1202,-11876,11987.1016096469,11936.6737410386
320,4608,-11119,-1359,-11604,12036.0219757194,11683.3084783378
340,4384,-10905,-2041,-11483,11753.2327893223,11662.9743204725
360,4325,-11178,-2302,-11664,11985.5458365483,11888.9907056907
380,4559,-11066,-2552,-11337,11968.3264076478,11620.6829833706
400,4338,-10932,-3186,-11272,11761.2443219244,11713.6066179465
420,4343,-11167,-3386,-11342,11981.8002820945,11836.6363465302
440,4517,-11028,-3710,-10984,11917.2175024206,11593.6342878323
460,4307,-10956,-4282,-10949,11772.17843052,11756.5354165247
480,4358,-11153,-4447,-10913,11974.2044829709,11784.2852137921
500,4480,-11000,-4824,-10544,11877.3060918712,11595.1244926478
520,4286,-10979,-5325,-10516,11785.9338620238,11787.3610702311
540,4370,-11138,-5472,-10382,11964.612154182,11735.7874895552
560,4447,-10979,-5883,-10017,11845.4316088524,11616.7972350386
580,4274,-10999,-6309,-9978,11800.2151251577,11805.2515856292
600,4380,-11122,-6452,-9757,11953.3796057851,11697.3224714034
620,4417,-10965,-6878,-9405,11821.2145738075,11651.6483383254
640,4267,-11017,-7229,-9339,11814.4647783977,11809.9687552508
660,4387,-11105,-7378,-9044,11940.1337513447,11671.7102431477
680,4389,-10956,-7799,-8711,11802.4258947049,11692.1307724469
700,4265,-11033,-8078,-8605,11828.664928892,11802.5467167048
720,4392,-11087,-8239,-8251,11925.2351339502,11660.1939091938
740,4363,-10952,-8640,-7939,11789.0658238895,11733.5979562963
760,4267,-11046,-8852,-7784,11841.5119389375,11787.6443787552
780,4394,-11070,-9027,-7386,11910.1694362423,11663.6068606585
800,4341,-10951,-9392,-7093,11780.0119694336,11769.4652809718
820,4271,-11057,-9544,-6884,11853.2143319861,11767.6417348592
840,4393,-11053,-9732,-6458,11894.000924836,11679.7940050328
860,4321,-10954,-10049,-6181,11775.4472101912,11797.7608892535
880,4278,-11065,-10152,-5916,11863.199779149,11749.985531906
900,4390,-11037,-10347,-5475,11878.0246253323,11706.2391057077
920,4305,-10959,-10606,-5208,11774.2390836945,11815.6887230495
940,4286,-11070,-10668,-4890,11870.7495972243,11735.3450737505
960,4385,-11023,-10864,-4446,11863.1679580119,11738.5438619958
980,4291,-10967,-11060,-4182,11776.5771767522,11824.2430624544
1000,4295,-11072,-11091,-3816,11875.8666631114,11729.1149282459
1020,4377,-11010,-11278,-3380,11848.1318780642,11773.6011483318
1040,4280,-10975,-11408,-3113,11780.0265279837,11825.1102743273
1060,4304,-11072,-11414,-2707,11879.1245468679,11730.6114503891
1080,4369,-10998,-11583,-2287,11834.0257309168,11806.6192451523
1100,4272,-10985,-11648,-2010,11786.4417446488,11820.1524524855
1120,4313,-11070,-11636,-1574,11880.5247779717,11741.9747913202
1140,4359,-10989,-11775,-1175,11821.9711554377,11833.4800460389
1160,4267,-10995,-11778,-884,11793.9524333448,11811.1278038975
1180,4321,-11065,-11753,-429,11878.7737582631,11760.8269267089
1200,4348,-10981,-11854,-54,11810.4811502326,11854.1229958188
1220,4264,-11004,-11800,256,11801.2589158954,11802.7766224732
1240,4328,-11059,-11763,717,11875.7342930869,11784.831691628
1260,4337,-10976,-11817,1067,11801.7856699738,11865.073872505
1280,4264,-11014,-11713,1396,11810.5838975048,11795.8969561454
1300,4333,-11052,-11664,1852,11871.0400976494,11810.1143093537
1320,4325,-10973,-11666,2180,11794.5900310269,11867.9381528554
1340,4265,-11022,-11520,2527,11818.4055185122,11793.9021956263
1360,4337,-11043,-11457,2968,11864.1231450116,11835.1963650799
1380,4314,-10972,-11403,3274,11789.6301892807,11863.7045226186
1400,4269,-11029,-11222,3636,11826.3773827829,11796.3460444326
1420,4339,-11034,-11143,4052,11856.4782713924,11856.861009559
1440,4304,-10973,-11031,4341,11786.9056583991,11854.4186698463
1460,4273,-11034,-10823,4713,11832.4843122651,11804.647305193
1480,4340,-11025,-10722,5096,11848.4693104215,11871.4152484024
1500,4294,-10975,-10554,5370,11785.1203218296,11841.6137413783
1520,4279,-11039,-10325,5745,11839.3142537902,11815.6950705407
1540,4338,-11015,-10200,6091,11838.4318640604,11880.2475142566
1560,4286,-10979,-9978,6354,11785.9338620238,11829.3617748381
1580,4285,-11041,-9735,6723,11843.3485974196,11830.8475605089
1600,4335,-11007,-9579,7029,11829.8890104684,11881.2491767491
1620,4279,-10984,-9310,7282,11788.0489055653,11819.6287589755
1640,4292,-11042,-9056,7637,11846.8150994265,11846.3034318727
1660,4331,-10999,-8866,7900,11820.9797394294,11875.0139368339
1680,4273,-10990,-8556,8145,11791.4642432566,11812.9658003399
1700,4298,-11042,-8293,8477,11848.9901679426,11858.8944678667
