frequency_hz,direct_adc_int16,filtered_adc_int16,direct_rms_uint16,filtered_rms_uint16,direct_rms_float,filtered_rms_float
200,20578,23537,17022,16805,17022.4079470466,16805.3462244063
220,-19918,-14753,16672,16536,16671.7265678286,16536.4144382521
240,-1948,-10501,16820,16809,16819.8613227271,16809.0211118545
260,21836,24077,16925,16682,16925.074751201,16681.7557543519
280,-18586,-10858,16664,16565,16663.9613488345,16564.7784178132
300,-4455,-14422,16821,16784,16820.7817484911,16783.5306071783
320,22831,23580,16859,16605,16858.8942698347,16604.6245012538
340,-17020,-6468,16664,16600,16664.0074443388,16599.7922407933
360,-6882,-17726,16820,16751,16819.6014555499,16751.010461053
380,23540,22019,16810,16561,16810.4429209418,16560.835998744
400,-15265,-1757,16668,16635,16668.365112429,16634.9757486729
420,-9215,-20314,16816,16715,16816.228737456,16715.1124881849
440,23956,19515,16773,16543,16773.1492674205,16542.5094773541
460,-13327,3100,16675,16665,16675.1972783451,16665.1500467975
480,-11437,-22097,16811,16679,16811.048411182,16679.3133012036
500,24075,16184,16744,16545,16744.0292743658,16544.755548494
520,-11218,7878,16684,16687,16683.9270447641,16687.2657497311
540,-13509,-22995,16804,16647,16804.4129662169,16647.1761503054
560,23913,12175,16721,16561,16721.1225216209,16560.9768901669
580,-8969,12361,16693,16700,16693.1505191612,16700.0754206726
600,-15423,-22999,16796,16622,16796.106028321,16621.7958543616
620,23425,7699,16703,16587,16703.3505089139,16586.6674503764
640,-6607,16362,16703,16703,16702.8404669623,16703.4102366168
660,-17158,-22100,16787,16605,16786.876999097,16604.9072121371
680,22672,2947,16690,16616,16689.8889199978,16616.2816774886
700,-4151,19674,16713,16698,16712.5740067663,16698.3218977077
720,-18696,-20330,16777,16598,16776.8411364178,16597.6252158968
740,21639,-1873,16680,16646,16680.4381128823,16645.8560745487
760,-1626,22142,16721,16687,16721.16276116,16687.0659226959
780,-20008,-17738,16766,16600,16766.0536646766,16600.3825674146
800,20335,-6541,16674,16672,16674.0962498575,16671.629327362
820,928,23634,16729,16673,16729.1603860787,16673.1279575963
840,-21110,-14412,16755,16612,16754.9211484688,16612.0152434682
860,18800,-10908,16671,16692,16670.8486275049,16691.688118978
880,3489,24095,16736,16660,16735.8760680502,16659.6063899809
900,-21973,-10465,16744,16630,16744.098018959,16630.4384119946
920,17022,-14778,16670,16705,16670.0307128257,16705.1169555552
940,6030,23482,16741,16649,16741.1888618988,16649.3292796704
960,-22603,-6025,16733,16653,16733.2838328235,16653.3975674061
980,15063,-18028,16671,16712,16671.4275227773,16711.6567153332
1000,8521,21828,16745,16644,16744.9708526604,16644.4941079364
1020,-22976,-1298,16723,16678,16723.1842928413,16678.1755926896
1040,12916,-20538,16675,16713,16674.565127688,16712.934383503
1060,10910,19245,16747,16646,16747.1461472075,16646.1374999205
1080,-23103,3567,16714,16702,16713.6606030342,16701.8532285147
1100,10650,-22231,16679,16710,16678.8937226741,16710.0552467771
1120,13178,15848,16748,16654,16747.6490123879,16654.2296455193
1140,-22966,8325,16705,16722,16705.4484900558,16721.829042661
1160,8258,-23046,16684,16705,16684.1247891735,16704.9038132566
1180,15305,11774,16747,16668,16746.5979852212,16667.7869840028
1200,-22601,12783,16698,16736,16697.7735091126,16736.4928256717
1220,5773,-22965,16690,16700,16689.7799508886,16699.555864375
1240,17253,7262,16744,16685,16744.1114087142,16685.1703060925
1260,-21969,16720,16692,16745,16691.8423879803,16745.0284226831
1280,3257,-21983,16696,16696,16695.758793915,16695.646946324
1300,19000,2492,16741,16704,16740.5931829692,16704.1016391059
1320,-21094,19967,16687,16747,16686.9837778373,16747.2799246041
1340,711,-20136,16702,16695,16701.6475414151,16694.6551193036
1360,20520,-2331,16736,16722,16735.7716330708,16722.1714685192
1380,-19981,22339,16683,16744,16683.47061788,16744.2719089103
1400,-1828,-17461,16707,16697,16707.1128162172,16696.9226820262
1420,21791,-6996,16730,16738,16729.952394765,16737.6399051577
1440,-18643,23743,16681,16737,16681.2369510782,16737.4196245707
1460,-4339,-14069,16712,16703,16712.0019060191,16703.0524349672
1480,22789,-11317,16724,16749,16723.8065310923,16748.856572315
1500,-17091,24109,16680,16729,16680.2993265496,16728.600854526
1520,-6763,-10066,16716,16712,16716.1251665273,16711.7409376533
1540,23516,-15135,16717,16755,16717.0173500766,16754.9721727031
1560,-15356,23391,16681,16720,16680.6536224811,16719.7799041206
1580,-9109,-5577,16719,16722,16719.427345654,16722.3525447778
1600,23956,-18302,16710,16756,16710.4227042755,16755.9409962897
1620,-13417,21646,16682,16713,16682.0046075134,16712.9855853765
1640,-11336,-823,16722,16733,16721.6007172641,16733.1227090155
1660,24078,-20754,16704,16753,16703.7843080531,16752.5690021815
1680,-11322,18965,16684,16709,16684.1654689195,16708.8983799803
1700,-13416,4033,16723,16743,16722.7672834947,16742.9682988428
1720,23922,-22349,16698,16745,16697.7026948805,16745.3458527299
1740,-9081,15485,16687,16708,16687.1399025549,16708.1037371673
1760,-15343,8781,16723,16750,16722.9535722444,16749.879580651
1780,23462,-23100,16692,16736,16692.1705273406,16735.9594425855
1800,-6735,11372,16691,16710,16690.6772304741,16710.2832498447
1820,-17079,13191,16722,16753,16721.9725491221,16753.3014015105
1840,22717,-22924,16688,16726,16687.5108889463,16725.9024810813
1860,-4273,6816,16695,16715,16694.5124159307,16714.8379623077
