tap_index,coefficient_float
0,-0.002035868
1,0.008529259
2,-0.016301801
3,0.016988892
4,-0.008006298
5,-0.006572457
6,0.009219076
7,-0.00124674
8,-0.007280017
9,0.004401631
10,0.00518647
11,-0.00425949
12,-0.001537698
13,0.005570153
14,0.000571767
15,-0.00543303
16,-0.000740666
17,0.002564742
18,-0.002960597
19,-0.004782998
20,0.001557752
21,0.003791834
22,-0.000435752
23,4.2992e-05
24,0.005174392
25,0.004103086
26,-0.001865682
27,-0.002583394
28,-7.9914e-05
29,-0.002965024
30,-0.007398145
31,-0.004778075
32,0.000718714
33,0.001174118
34,0.000800893
35,0.005721439
36,0.009814761
37,0.006362939
38,0.001171018
39,0.000227034
40,-0.001981177
41,-0.009282989
42,-0.013677321
43,-0.009899773
44,-0.004927488
45,-0.002941069
46,0.002742862
47,0.013607843
48,0.019369787
49,0.015880341
50,0.011329011
51,0.007681497
52,-0.003704895
53,-0.021435754
54,-0.031232456
55,-0.029784292
56,-0.027275926
57,-0.021147901
58,0.003956625
59,0.043548133
60,0.07370913
61,0.093902014
62,0.131618962
63,0.187664598
64,0.108261153
65,0.187664598
66,0.131618962
67,0.093902014
68,0.07370913
69,0.043548133
70,0.003956625
71,-0.021147901
72,-0.027275926
73,-0.029784292
74,-0.031232456
75,-0.021435754
76,-0.003704895
77,0.007681497
78,0.011329011
79,0.015880341
80,0.019369787
81,0.013607843
82,0.002742862
83,-0.002941069
84,-0.004927488
85,-0.009899773
86,-0.013677321
87,-0.009282989
88,-0.001981177
89,0.000227034
90,0.001171018
91,0.006362939
92,0.009814761
93,0.005721439
94,0.000800893
95,0.001174118
96,0.000718714
97,-0.004778075
98,-0.007398145
99,-0.002965024
100,-7.9914e-05
101,-0.002583394
102,-0.001865682
103,0.004103086
104,0.005174392
105,4.2992e-05
106,-0.000435752
107,0.003791834
108,0.001557752
109,-0.004782998
110,-0.002960597
111,0.002564742
112,-0.000740666
113,-0.00543303
114,0.000571767
115,0.005570153
116,-0.001537698
117,-0.00425949
118,0.00518647
119,0.004401631
120,-0.007280017
121,-0.00124674
122,0.009219076
123,-0.006572457
124,-0.008006298
125,0.016988892
126,-0.016301801
127,0.008529259
128,-0.002035868
